time,value
1639573200,5377.951162
1639576800,14265.527907
1639580400,1838.075963
1639584000,1470.984223
1639587600,1791.264318
1639591200,381.59406
1639594800,6630.933876
1639598400,6353.353565
1639602000,1594.208046
1639605600,1015.735722
1639609200,20598.220877
1639612800,2532.907761
1639616400,3065.624052
1639620000,974.242435
1639623600,1031.248509
1639627200,1517.948415
1639630800,3468.685018
1639634400,6110.909989
1639638000,1445.317072
1639641600,3031.953469
1639645200,26813.623085
1639648800,259.880981
1639652400,8613.09925
1639656000,1566.890698
1639659600,2308.996483
1639663200,56977.857973
1639666800,31188.962056
1639670400,2769.843805
1639674000,5188.749689
1639677600,4851.176909
1639681200,563.047153
1639684800,988.52
1639688400,942.252787
1639692000,845.07102
1639695600,4896.172328
1639699200,2060.660964
1639702800,1409.477067
1639706400,1503.74333
1639710000,1659.939133
1639713600,2612.573337
1639717200,294.70277
1639720800,23876.940303
1639724400,217.575741
1639728000,18736.446994
1639731600,16000.505939
1639735200,6318.305943
1639738800,319.664228
1639742400,696.822632
1639746000,8647.046211
1639749600,15065.880756
1639753200,32275.486229
1639756800,304.207963
1639760400,1067.634128
1639764000,2199.503904
1639767600,586.092932
